timestamp,city,status,listing_id,title,hero,images,error
2026-04-01T06:42:53,amsterdam,draft_created,4481225569,"Amsterdam Monochrome Map Wall Art | Bold City Poster, 6 Colors, Travel Gift",main,10,
2026-04-01T06:43:16,asheville,draft_created,4481225743,"Asheville Map Poster | Minimalist Monochrome Art, Choose Your Color, Anniversary Gift",mockup4,10,
2026-04-01T06:43:45,atlanta,draft_created,4481232294,"Atlanta Monochrome Map Wall Art | Bold City Poster, 6 Colors, Travel Gift",frame8,10,
2026-04-01T06:44:15,austin,draft_created,4481232460,"Austin City Map Print | Bold Monochrome Wall Art, 6 Color Options, Graduation Gift",main,10,
2026-04-01T06:44:43,baltimore,draft_created,4481232638,"Baltimore Map Print | Monochrome City Art, Choose Your Color, New Home Gift",mockup4,10,
2026-04-01T06:45:09,barcelona,draft_created,4481232776,"Barcelona Map Art Print | Monochrome City Poster, Choose Your Color, New Home Gift",frame8,10,
2026-04-01T06:45:40,berlin,draft_created,4481226483,"Berlin City Map Print | Bold Monochrome Wall Art, 6 Color Options, Birthday Gift",main,10,
2026-04-01T06:46:07,boise,draft_created,4481226693,"Boise City Map Print | Bold Monochrome Wall Art, 6 Color Options, Anniversary Gift",mockup4,10,
2026-04-01T06:46:35,boston,draft_created,4481233236,"Boston City Map Print | Bold Monochrome Wall Art, 6 Color Options, Housewarming Gift",frame8,10,
2026-04-01T06:47:06,budapest,draft_created,4481227005,"Budapest Map Art Print | Monochrome City Poster, Choose Your Color, Housewarming Gift",main,10,
2026-04-01T06:47:34,charleston,draft_created,4481233656,"Charleston City Map Print | Bold Monochrome Wall Art, 6 Color Options, New Home Gift",mockup4,10,
2026-04-01T06:48:03,charlotte,draft_created,4481227387,"Charlotte Map Print | Monochrome City Art, Choose Your Color, Travel Gift",frame8,10,
2026-04-01T06:48:30,chattanooga,draft_created,4481233982,"Chattanooga Monochrome Map Wall Art | Bold City Poster, 6 Colors, New Home Gift",main,10,
2026-04-01T06:48:57,chicago,draft_created,4481227727,"Chicago City Map Print | Bold Monochrome Wall Art, 6 Color Options, New Home Gift",mockup4,10,
2026-04-01T06:49:25,cincinnati,draft_created,4481234302,"Cincinnati Map Poster | Minimalist Monochrome Art, Choose Your Color, Housewarming Gift",frame8,10,
2026-04-01T06:49:50,cleveland,draft_created,4481234444,"Cleveland Map Print | Monochrome City Art, Choose Your Color, Housewarming Gift",main,10,
2026-04-01T06:50:15,copenhagen,draft_created,4481228219,copenhagen MonoMap Print,mockup4,10,
2026-04-01T06:50:42,dallas,draft_created,4481228385,"Dallas Map Print | Monochrome City Art, Choose Your Color, Graduation Gift",frame8,10,
2026-04-01T06:51:08,denver,draft_created,4481234858,"Denver Map Print | Monochrome City Art, Choose Your Color, New Home Gift",main,10,
2026-04-01T06:51:39,detroit,draft_created,4481228723,"Monochrome Detroit Map Print | Bold City Wall Art, 6 Colors, Travel Gift",mockup4,10,
2026-04-01T06:52:07,dublin,draft_created,4481228907,"Dublin Map Print | Monochrome City Art, Choose Your Color, Travel Gift",frame8,10,
2026-04-01T06:52:37,edinburgh,draft_created,4481235356,"Edinburgh Monochrome Map Wall Art | Bold City Poster, 6 Colors, Graduation Gift",main,10,
2026-04-01T06:53:08,florence,draft_created,4481235552,"Florence City Map Print | Bold Monochrome Wall Art, 6 Color Options, Graduation Gift",mockup4,10,
2026-04-01T06:53:34,honolulu,draft_created,4481235750,honolulu MonoMap Print,frame8,10,
2026-04-01T06:54:02,houston,draft_created,4481235902,"Houston Map Art Print | Monochrome City Poster, Choose Your Color, Anniversary Gift",main,10,
2026-04-01T06:54:28,indianapolis,draft_created,4481236112,"Indianapolis Map Art Print | Monochrome City Poster, Choose Your Color, Housewarming Gift",mockup4,10,
2026-04-01T06:54:59,istanbul,draft_created,4481229915,"Istanbul Map Poster | Minimalist Monochrome Art, Choose Your Color, Birthday Gift",frame8,10,
2026-04-01T06:55:26,kansas_city,draft_created,4481230163,"Kansas City Map Poster | Minimalist Monochrome Art, Choose Your Color, Travel Gift",main,10,
2026-04-01T06:55:55,lisbon,draft_created,4481230359,lisbon MonoMap Print,mockup4,10,
2026-04-01T06:56:24,london,draft_created,4481236810,"Monochrome London Map Print | Bold City Wall Art, 6 Colors, Housewarming Gift",frame8,10,
2026-04-01T06:56:52,los_angeles,draft_created,4481230777,"Los Angeles Map Art Print | Monochrome City Poster, Choose Your Color, Graduation Gift",main,10,
2026-04-01T06:57:23,madrid,draft_created,4481230949,"Monochrome Madrid Map Print | Bold City Wall Art, 6 Colors, Housewarming Gift",mockup4,10,
2026-04-01T06:57:49,mexico_city,draft_created,4481231095,"Mexico City Map Poster | Minimalist Monochrome Art, Choose Your Color, Birthday Gift",frame8,10,
2026-04-01T06:58:17,miami,draft_created,4481231261,"Miami Monochrome Map Wall Art | Bold City Poster, 6 Colors, Housewarming Gift",main,10,
2026-04-01T06:58:47,milan,draft_created,4481231435,"Monochrome Milan Map Print | Bold City Wall Art, 6 Colors, Travel Gift",mockup4,10,
2026-04-01T06:59:14,milwaukee,draft_created,4481237786,"Milwaukee Map Poster | Minimalist Monochrome Art, Choose Your Color, Graduation Gift",frame8,10,
2026-04-01T06:59:41,minneapolis,draft_created,4481237944,"Monochrome Minneapolis Map Print | Bold City Wall Art, 6 Colors, Anniversary Gift",main,10,
2026-04-01T07:00:06,munich,draft_created,4481238116,"Munich Monochrome Map Wall Art | Bold City Poster, 6 Colors, New Home Gift",mockup4,10,
2026-04-01T07:00:37,nashville,draft_created,4481232145,"Monochrome Nashville Map Print | Bold City Wall Art, 6 Colors, Birthday Gift",frame8,10,
2026-04-01T07:01:09,new_orleans,draft_created,4481238470,"New Orleans Map Art Print | Monochrome City Poster, Choose Your Color, New Home Gift",main,10,
2026-04-01T07:01:36,new_york,draft_created,4481238700,"New York Map Poster | Minimalist Monochrome Art, Choose Your Color, New Home Gift",mockup4,10,
2026-04-01T07:02:05,paris,draft_created,4481232725,"Paris Map Poster | Minimalist Monochrome Art, Choose Your Color, Graduation Gift",frame8,10,
2026-04-01T07:02:36,philadelphia,draft_created,4481232877,"Monochrome Philadelphia Map Print | Bold City Wall Art, 6 Colors, Graduation Gift",main,10,
