timestamp,state,type,status,listing_id,title,images,error
2026-04-12T15:47:33,Alabama,digital,dry_run,,"Alabama Topographic Map Digital Download | Elevation Relief Art, State Map Print, Geography Gift",9,
2026-04-12T15:47:33,Alabama,print,dry_run,,"Alabama Topographic Map Print | Elevation Relief Wall Art, State Poster, Terrain Map Gift",9,
2026-04-12T15:47:33,Alaska,digital,dry_run,,"Alaska Topographic Map Digital Download | Elevation Relief Art, State Map Print, Geography Gift",8,
2026-04-12T15:47:33,Alaska,print,dry_run,,"Alaska Topographic Map Print | Elevation Relief Wall Art, State Poster, Terrain Map Gift",8,
2026-04-12T15:47:33,Arizona,digital,dry_run,,"Arizona Topographic Map Digital Download | Elevation Relief Art, State Map Print, Geography Gift",9,
2026-04-12T15:47:33,Arizona,print,dry_run,,"Arizona Topographic Map Print | Elevation Relief Wall Art, State Poster, Terrain Map Gift",9,
2026-04-12T15:47:33,Arkansas,digital,dry_run,,"Arkansas Topographic Map Digital Download | Elevation Relief Art, State Map Print, Geography Gift",8,
2026-04-12T15:47:33,Arkansas,print,dry_run,,"Arkansas Topographic Map Print | Elevation Relief Wall Art, State Poster, Terrain Map Gift",8,
2026-04-12T15:47:33,California,digital,dry_run,,"California Topographic Map Digital Download | Elevation Relief Art, State Map Print, Geography Gift",9,
2026-04-12T15:47:33,California,print,dry_run,,"California Topographic Map Print | Elevation Relief Wall Art, State Poster, Terrain Map Gift",9,
2026-04-12T15:47:33,Colorado,digital,dry_run,,"Colorado Topographic Map Digital Download | Elevation Relief Art, State Map Print, Geography Gift",8,
2026-04-12T15:47:33,Colorado,print,dry_run,,"Colorado Topographic Map Print | Elevation Relief Wall Art, State Poster, Terrain Map Gift",8,
2026-04-12T15:47:33,Connecticut,digital,dry_run,,"Connecticut Topographic Map Digital Download | Elevation Relief Art, State Map Print, Geography Gift",8,
2026-04-12T15:47:33,Connecticut,print,dry_run,,"Connecticut Topographic Map Print | Elevation Relief Wall Art, State Poster, Terrain Map Gift",8,
2026-04-12T15:47:33,Delaware,digital,dry_run,,"Delaware Topographic Map Digital Download | Elevation Relief Art, State Map Print, Geography Gift",9,
2026-04-12T15:47:33,Delaware,print,dry_run,,"Delaware Topographic Map Print | Elevation Relief Wall Art, State Poster, Terrain Map Gift",9,
2026-04-12T15:47:33,Florida,digital,dry_run,,"Florida Topographic Map Digital Download | Elevation Relief Art, State Map Print, Geography Gift",8,
2026-04-12T15:47:33,Florida,print,dry_run,,"Florida Topographic Map Print | Elevation Relief Wall Art, State Poster, Terrain Map Gift",8,
2026-04-12T15:47:33,Georgia,digital,dry_run,,"Georgia Topographic Map Digital Download | Elevation Relief Art, State Map Print, Geography Gift",9,
2026-04-12T15:47:33,Georgia,print,dry_run,,"Georgia Topographic Map Print | Elevation Relief Wall Art, State Poster, Terrain Map Gift",9,
2026-04-12T15:47:33,Hawaii,digital,dry_run,,"Hawaii Topographic Map Digital Download | Elevation Relief Art, State Map Print, Geography Gift",8,
2026-04-12T15:47:33,Hawaii,print,dry_run,,"Hawaii Topographic Map Print | Elevation Relief Wall Art, State Poster, Terrain Map Gift",8,
2026-04-12T15:47:33,Idaho,digital,dry_run,,"Idaho Topographic Map Digital Download | Elevation Relief Art, State Map Print, Geography Gift",9,
2026-04-12T15:47:33,Idaho,print,dry_run,,"Idaho Topographic Map Print | Elevation Relief Wall Art, State Poster, Terrain Map Gift",9,
2026-04-12T15:47:33,Illinois,digital,dry_run,,"Illinois Topographic Map Digital Download | Elevation Relief Art, State Map Print, Geography Gift",9,
2026-04-12T15:47:33,Illinois,print,dry_run,,"Illinois Topographic Map Print | Elevation Relief Wall Art, State Poster, Terrain Map Gift",9,
2026-04-12T15:47:33,Indiana,digital,dry_run,,"Indiana Topographic Map Digital Download | Elevation Relief Art, State Map Print, Geography Gift",9,
